Make,Model,Variant,Price,Displacement,Sales2022,Sales2021,Color,Highest_sales_state,Cylinders,Emission_Norm,Fuel_Tank_Capacity_ltr,Fuel_Type,Body_Type,Doors,Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Tyre_Rim,Rear_Tyre_Rim,Power_Steering,Power_Windows,Power,Torque,Seating_Capacity,Boot_Space_ltr
Audi,R8,V10 Plus,27245.000 ,5204 cc,67.956,78.149,black,virginia,10,BS IV,75,Petrol,Coupe,2,7.8 km/litre,7,110 mm,Ventilated Disc,Ventilated Disc,Double wishbone suspension,Double wishbone suspension,245/35R19,295/35R19,Electric Power,Only Front Windows,610PS@8250rpm,560Nm@6500rpm,2,
Lamborghini,Urus,V8,30000.000 ,3996 cc,81.174,93.35,gray,pennsylvania,8,BS IV,75,Petrol,SUV,5,,,,Ventilated Disc,Ventilated Disc,adaptive air suspension,adaptive air suspension,285/45 ZR21,315/40 ZR21,Yes,All Windows,650PS@6000rpm,850Nm@2250-4500rpm,5,616
Bentley,Continental Gt,Coupe,33791.059 ,5998 cc,27.609,31.75,white,florida,12,BS IV,90,Petrol,Coupe,2,5.3 km/litre,8,142 mm,Ventilated Disc,Ventilated Disc,Air springs with continous damping control,Air springs with continous damping control,275/40R20,275/40R20,Electric Power,All Windows,590PS@6000rpm,720Nm@1800rpm,4,358
Ferrari,Portofino,V8 Convertible,35000.000 ,3855 cc,20.38,23.437,maroon,colorado,8,BS IV,92,Petrol,Convertible,2,6 km/litre,7,119 mm,Ventilated Disc,Ventilated Disc,Double wishbone suspension,Multilink,245/40ZR19,285/40ZR19,Electric Power,All Windows,560PS@7500rpm,755NM@4750rpm,2,240
Bentley,Bentayga,W12,45941.557 ,5950 cc,18.392,21.15,white,georgia,12,BS IV,85,Petrol,SUV,5,9.6 km/litre,8,,Ventilated Disc,Ventilated Disc,Air Suspension with Continuous Damping Control and 4 height settings,Air suspension with continuous damping control and 4 height setting,285/45R21,285/45R21,Electro-Hydraulic,All Windows,608PS@6000RPM,900Nm@1350rpm,5,430
Bentley,Bentayga,V8,37542.069 ,3996 cc,27.602,31.742,black,michigan,12,BS IV,85,Petrol,SUV,5,,8,,Ventilated Disc,Ventilated Disc,Air Suspension with Continuous Damping Control and 4 height settings,Air suspension with continuous damping control and 4 height setting,285/45R21,285/45R21,Electro-Hydraulic,All Windows,550PS@6000RPM,770Nm@1350rpm,5,430
Aston Martin,Db 11,V12,40456.503 ,5198 cc,16.774,19.29,caramel,south carolina,12,,80,Petrol,Coupe,2,6 km/litre,,130 mm,Ventilated Disc,Ventilated Disc,Independent Double Wish Bone - Coil Spring Suspension,rear multi linkCoil spring anti roll bar and adaptive dampers,255/40 ZR 20,295/35 ZR 20,Hydraulic Power,All Windows,608PS@6500rpm,700Nm@1500rpm,2,300
Ferrari,458 Speciale,Coupe,42531.500 ,4497 cc,3.311,3.807,black,virginia,8,BS IV,86,Petrol,Coupe,2,6 km/litre,7,113 mm,Ventilated Disc,Ventilated Disc,Twin wishbones,multi-link set-up,245/35ZR20,305/30ZR20,Electric Power,All Windows,605PS@9000rpm,540Nm@6000rpm,2,230
Rolls-Royce,Ghost Series Ii,6.6,46709.733 ,6593 cc,7.998,9.197,white,pennsylvania,12,BS IV,82.5,Petrol,Sedan,4,10.5 km/litre,8,150 mm,Ventilated Disc,Ventilated Disc,Independent Double Wishbone with Air Springs,Independent Multi-Link with Air Springs,255/50R19,255/50R19,Electric Power,All Windows,563PS@5250rpm,780Nm@1700rpm,5,490
Rolls-Royce,Ghost Series Ii,Ewb,53247.201 ,6592 cc,1.526,1.754,black,florida,12,BS IV,82.5,Petrol,Sedan,4,,8,150 mm,Ventilated Disc,Ventilated Disc,Independent Double Wishbone with Air Springs,Independent Multi-Link with Air Springs,255 / 45 R20,285 / 45 R20,Electric Power,All Windows,570 bhp @ 5250 rpm,780 Nm @ 1500-5000 rpm,5,490
Rolls-Royce,Wraith,Coupe,50025.840 ,6592 cc,39.384,45.291,gray,california,12,BS IV,83,Petrol,Coupe,2,4.7 km/litre,8,,Ventilated Disc,Ventilated Disc,Double wishbone,Multi-Link,255 / 45 R20,285/40 R20,Electric Power,Only Front Windows,625PS@5600rpm,800Nm@1500-5500rpm,4,470
Bentley,Mulsanne,Sedan,52571.294 ,6752 cc,14.114,16.231,black,georgia,8,BS IV,90,Petrol,Sedan,4,6.2 km/litre,8,142 mm,Ventilated Disc,Ventilated Disc,Air springs with continous damping control,Air springs with continous damping control,265/45R20,265/45R20,Electric Power,All Windows,512PS@4200rpm,1020Nm@1750rpm,4,443
Bajaj,Qute (Re60),Qcar,263.000 ,216 cc,19.747,22.709,white,tennessee,,BS IV,38,Petrol,Hatchback,4,,5,,Drum,Drum,Hydraulic Telescopic Shock Absorber,Hydraulic Telescopic Shock Absorber,R12,R12,,,13bhp@5500rpm,18.9Nm@4000rpm,4,20
Bajaj,Qute (Re60),Qcar Cng,283.000 ,216 cc,9.231,10.615,maroon,illinois,,BS IV,38,CNG,Hatchback,4,,5,,Drum,Drum,Hydraulic Telescopic Shock Absorber,Hydraulic Telescopic Shock Absorber,R12,R12,,,12bhp@5500rpm,16.1Nm@4000rpm,4,20
Maruti Suzuki,Alto,Std,294.800 ,796 cc,17.527,20.156,white,virginia,3,BS 6,35,Petrol,Hatchback,5,,5,160 mm,Solid Disc,Drum,Gas Filled Mc Pherson Strut Torsion Roll Control Devic,Coil spring gas filled shock absorbers with three link rigid axle and isolated trailing arms,145/80R12,145/80R12,,,48PS@6000rpm,69Nm@3500rpm,5,
Maruti Suzuki,Alto,Std (O),299.900 ,796 cc,91.561,105.295,white,pennsylvania,3,BS 6,35,Petrol,Hatchback,5,,5,160 mm,Solid Disc,Drum,Gas Filled Mc Pherson Strut Torsion Roll Control Devic,Coil spring gas filled shock absorbers with three link rigid axle and isolated trailing arms,145/80R12,145/80R12,,,48PS@6000rpm,69Nm@3500rpm,5,
Maruti Suzuki,Alto,Lxi,352.900 ,796 cc,39.35,45.252,black,florida,3,BS 6,35,Petrol,Hatchback,5,,5,160 mm,Solid Disc,Drum,Gas Filled Mc Pherson Strut Torsion Roll Control Devic,Coil Spring Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm,145/80R12,145/80R12,Electric Power,Only Front Windows,47hp@6000rpm,69Nm@3500rpm,5,
Maruti Suzuki,Alto,Lxi (O),357.200 ,796 cc,27.851,32.028,white,california,3,BS 6,35,Petrol,Hatchback,5,,5,160 mm,Solid Disc,Drum,Gas Filled Mc Pherson Strut Torsion Roll Control Devic,Coil Spring Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm,145/80R12,145/80R12,Yes,Only Front Windows,48PS@6000rpm,69Nm@3500rpm,5,
Maruti Suzuki,Alto,Vxi,376.100 ,796 cc,83.257,95.745,maroon,georgia,3,BS 6,35,Petrol,Hatchback,5,,5,160 mm,Solid Disc,Drum,Gas Filled Mc Pherson Strut Torsion Roll Control Devic,Coil Spring Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm,145/80R12,145/80R12,Yes,Only Front Windows,48PS@6000rpm,69Nm@3500rpm,5,
Maruti Suzuki,Alto,Lxi Cng (Cng +,405.570 ,796 cc,63.729,73.288,gray,michigan,3,BS 6,35,CNG + Petrol,Hatchback,5,,5,160 mm,Solid Disc,Drum,Gas Filled Mc Pherson Strut Torsion Roll Control Devic,Coil Spring Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm,145/80R12,145/80R12,Electric Power,Only Front Windows,47hp@6000rpm,69Nm@3500rpm,5,
Maruti Suzuki,Alto,Lxi (O) Cng (Cng +,409.190 ,796 cc,15.943,18.334,black,georgia,3,BS 6,35,CNG + Petrol,Hatchback,5,,5,160 mm,Solid Disc,Drum,Gas Filled Mc Pherson Strut Torsion Roll Control Devic,Coil Spring Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm,145/80R12,145/80R12,Yes,Only Front Windows,48PS@6000rpm,69Nm@3500rpm,5,
Maruti Suzuki,Alto,Vxi Plus,389.600 ,796 cc,6.536,7.516,blue,illinois,3,BS 6,35,Petrol,Hatchback,5,,5,160 mm,Solid Disc,Drum,Gas Filled Mc Pherson Strut Torsion Roll Control Devic,Coil Spring Gas Filled Shock Absorbers With Three Link Rigid Axle And Isolated Trailing Arm,145/80R12,145/80R12,Yes,Only Front Windows,48PS@6000rpm,69Nm@3500rpm,5,
Maruti Suzuki,S-Presso,Std,370.500 ,998 cc,11.185,12.862,black,virginia,3,BS 6,27,Petrol,Hatchback,5,,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,145/80 R13,145/80 R13,,,67PS@5500rpm,90Nm@3500rpm,5,
Maruti Suzuki,S-Presso,Std (O),376.500 ,998 cc,14.785,17.002,gray,michigan,3,BS 6,27,Petrol,Hatchback,5,,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,145/80 R13,145/80 R13,,,67PS@5500rpm,90Nm@3500rpm,5,
Maruti Suzuki,S-Presso,Lxi,409.000 ,998 cc,145.519,167.346,white,florida,3,BS 6,27,Petrol,Hatchback,5,,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,145/80 R13,145/80 R13,Yes,,67PS@5500rpm,90Nm@3500rpm,5,
Maruti Suzuki,S-Presso,Lxi (O),415.000 ,998 cc,135.126,155.394,darkgreen,south carolina,3,BS 6,27,Petrol,Hatchback,5,,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,145/80 R13,145/80 R13,Yes,,67PS@5500rpm,90Nm@3500rpm,5,
Maruti Suzuki,S-Presso,Vxi,432.500 ,998 cc,24.629,28.323,white,georgia,3,BS 6,27,Petrol,Hatchback,5,,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,145/80 R13,145/80 R13,Yes,Only Front Windows,67PS@5500rpm,90Nm@3500rpm,5,
Maruti Suzuki,S-Presso,Vxi (O),438.500 ,998 cc,42.593,48.981,gray,michigan,3,BS 6,27,Petrol,Hatchback,5,,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,145/80 R13,145/80 R13,Yes,Only Front Windows,67PS@5500rpm,90Nm@3500rpm,5,
Maruti Suzuki,S-Presso,Vxi Ags,475.500 ,998 cc,26.402,30.362,gray,wisconsin,3,BS 6,27,Petrol,Hatchback,5,,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,145/80 R13,145/80 R13,Yes,Only Front Windows,67PS@5500rpm,90Nm@3500rpm,5,
Maruti Suzuki,S-Presso,Vxi+,456.000 ,998 cc,17.947,20.639,gray,illinois,3,BS 6,27,Petrol,Hatchback,5,,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,145/80 R13,145/80 R13,Electric Power,All Windows,67PS@5500rpm,90Nm@3500rpm,5,
Maruti Suzuki,S-Presso,Vxi (O) Ags,481.500 ,998 cc,32.299,37.143,white,virginia,3,BS 6,27,Petrol,Hatchback,5,,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,145/80 R13,145/80 R13,Yes,Only Front Windows,67PS@5500rpm,90Nm@3500rpm,5,
Maruti Suzuki,S-Presso,Vxi+ Ags,499.000 ,998 cc,21.855,25.133,caramel,florida,3,BS 6,27,Petrol,Hatchback,5,,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,145/80 R13,145/80 R13,Electric Power,All Windows,67PS@5500rpm,90Nm@3500rpm,5,
Maruti Suzuki,Celerio,Lxi,426.289 ,998 cc,107.995,124.194,blue,michigan,3,BS 6,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,155/80R13,155/80R13,Electric Power,,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio,Vxi,465.138 ,998 cc,7.854,9.032,black,florida,3,BS 6,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio,Vxi At,508.138 ,998 cc,32.775,37.691,gray,georgia,3,BS 6,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio,Zxi,490.924 ,998 cc,31.148,35.82,black,michigan,3,BS 6,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio,Zxi (Opt),531.279 ,998 cc,32.306,37.151,beige,michigan,3,BS 6,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio,Vxi Cng Mt,530.000 ,998 cc,13.462,15.481,gray,new jersey,3,BS 6,35,CNG,Hatchback,5,,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,59PS@6000rpm,78Nm@3500rpm,5,235
Maruti Suzuki,Celerio,Zxi Ags,533.924 ,998 cc,53.48,61.502,gray,virginia,3,BS 6,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio,Lxi Mt (O),434.659 ,998 cc,30.696,35.3,white,pennsylvania,3,BS 6,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,155/80R13,155/80R13,Electric Power,,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio,Vxi (O) Mt,472.257 ,998 cc,76.034,87.439,white,florida,3,BS 6,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio,Vxi (O) Ags,515.257 ,998 cc,304.734,350.444,white,virginia,3,BS 6,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Maruti Suzuki,Celerio,Zxi (O) Ags,543.279 ,998 cc,71.186,81.863,caramel,georgia,3,BS 6,35,Petrol,Hatchback,5,23 km/litre,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,165/70R14,165/70R14,Electric Power,All Windows,68PS@6000rpm,90Nm@3500rpm,5,235
Hyundai,Grand I10 Prime,Era T Crdi,551.530 ,1120 cc,88.028,101.232,black,michigan,3,BS IV,43,Diesel,Hatchback,5,24 km/litre,5,,Solid Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,165/65R14,165/65R14,Electric Power,,71PS@4000rpm,16.3Nm@1500-2750RPM,5,256
Hyundai,Grand I10 Prime,Era T+ Crdi,568.930 ,1120 cc,0.916,1.053,silver,michigan,3,BS IV,43,Diesel,Hatchback,5,24 km/litre,5,,Solid Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,165/65R14,165/65R14,Electric Power,Only Front Windows,71PS@4000rpm,16.3Nm@1500-2750RPM,5,256
Hyundai,Grand I10 Prime,Era T Vtvt,460.369 ,1197 cc,227.061,261.12,black,mississippi,4,BS IV,43,Petrol,Hatchback,5,18.9 km/litre,5,165 mm,Solid Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,165/65R14,165/65R14,Electric Power,Only Front Windows,83PS@6000rpm,114Nm@4000rpm,5,256
Hyundai,Grand I10 Prime,Era T+ Vtvt,477.511 ,1197 cc,16.767,19.282,white,virginia,4,BS IV,43,Petrol,Hatchback,5,18.9 km/litre,5,165 mm,Solid Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,165/65R14,165/65R14,Electric Power,Only Front Windows,83PS@6000rpm,114Nm@4000rpm,5,256
Hyundai,Grand I10 Prime,Era T+ Cng Vtvt,545.946 ,1197 cc,31.038,35.693,silver,florida,4,BS IV,43,CNG,Hatchback,5,,5,165 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,165/65R14,165/65R14,Electric Power,Only Front Windows,83PS@6000rpm,114Nm@4000rpm,5,256
Hyundai,Grand I10 Prime,Era T Cng Vtvt,528.804 ,1197 cc,111.313,128.009,white,texas,4,BS IV,43,CNG,Hatchback,5,,5,165 mm,Ventilated Disc,Drum,McPherson Strut,Coupled Torsion Beam Axle,165/65R14,165/65R14,Electric Power,Only Front Windows,83PS@6000rpm,114Nm@4000rpm,5,256
Mahindra,Kuv100 Nxt,K2 6Str,488.194 ,1198 cc,101.323,116.521,gray,virginia,3,BS IV,35,Petrol,Hatchback,5,15.5 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,,82PS@5500RPM,115NM@3500-3600RPM,6,243
Mahindra,Kuv100 Nxt,K2+ 6Str,532.184 ,1198 cc,181.749,209.011,caramel,georgia,3,BS IV,35,Petrol,Hatchback,5,15.5 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,,82PS@5500RPM,115NM@3500-3600RPM,6,243
Mahindra,Kuv100 Nxt,K2 D 6Str,590.798 ,1198 cc,70.227,80.761,silver,michigan,3,BS IV,35,Diesel,Hatchback,5,22.25 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,,77PS@3750RPM,190NM@1750-2250RPM,6,243
Mahindra,Kuv100 Nxt,K2+ D 6Str,619.243 ,1198 cc,113.369,130.374,white,michigan,3,BS IV,35,Diesel,Hatchback,5,22.25 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,,77PS@3750RPM,190NM@1750-2250RPM,6,243
Mahindra,Kuv100 Nxt,K4+ D 6Str,667.273 ,1198 cc,35.068,40.328,black,arkansas,3,BS IV,35,Diesel,Hatchback,5,22.25 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,All Windows,77PS@3750RPM,190NM@1750-2250RPM,6,243
Mahindra,Kuv100 Nxt,K4+ 6Str,579.645 ,1198 cc,245.815,282.687,black,virginia,3,BS IV,35,Petrol,Hatchback,5,15.5 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,All Windows,82PS@5500RPM,115NM@3500-3600RPM,6,243
Mahindra,Kuv100 Nxt,K6+ 6Str,631.144 ,1198 cc,175.67,202.02,blue,new york,3,BS IV,35,Petrol,Hatchback,5,15.5 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,All Windows,82PS@5500RPM,115NM@3500-3600RPM,6,243
Mahindra,Kuv100 Nxt,K6+ D 6Str,754.548 ,1198 cc,63.403,72.913,blue,florida,3,BS IV,35,Diesel,Hatchback,5,22.25 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,,77PS@3750RPM,190NM@1750-2250RPM,6,243
Mahindra,Kuv100 Nxt,K8 6Str,693.550 ,1198 cc,276.747,318.259,black,california,3,BS IV,35,Petrol,Hatchback,5,15.5 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,All Windows,82PS@5500RPM,115NM@3500-3600RPM,6,243
Mahindra,Kuv100 Nxt,K8 D 6Str,787.304 ,1198 cc,155.787,179.155,black,virginia,3,BS IV,35,Diesel,Hatchback,5,22.25 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,All Windows,77PS@3750RPM,190NM@1750-2250RPM,6,243
Mahindra,Kuv100 Nxt,K8 6 Str Dual Tone,701.045 ,1198 cc,125.338,144.138,white,new jersey,3,BS IV,35,Petrol,Hatchback,5,15.5 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,All Windows,82PS@5500RPM,115NM@3500-3600RPM,6,243
Mahindra,Kuv100 Nxt,K8 D 6 Str Dual Tone,794.800 ,1198 cc,220.65,253.747,white,georgia,3,BS IV,35,Diesel,Hatchback,5,22.25 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,All Windows,77PS@3750RPM,190NM@1750-2250RPM,6,243
Mahindra,Kuv100 Nxt,K4+ 5Str,573.250 ,1198 cc,140.561,161.645,gray,michigan,3,BS IV,35,Petrol,Hatchback,5,15.5 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,All Windows,82PS@5500RPM,115NM@3500-3600RPM,5,243
Mahindra,Kuv100 Nxt,K6+ 5Str,631.146 ,1198 cc,199.685,229.637,gray,michigan,3,BS IV,35,Petrol,Hatchback,5,15.5 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,All Windows,82PS@5500RPM,115NM@3500-3600RPM,5,243
Mahindra,Kuv100 Nxt,K8 5Str,687.175 ,1198 cc,230.902,265.537,darkgreen,arkansas,3,BS IV,35,Petrol,Hatchback,5,15.5 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,All Windows,82PS@5500RPM,115NM@3500-3600RPM,5,243
Mahindra,Kuv100 Nxt,K4+ D 5Str,660.832 ,1198 cc,73.203,84.183,black,virginia,3,BS IV,35,Diesel,Hatchback,5,22.25 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,All Windows,77PS@3750RPM,190NM@1750-2250RPM,5,243
Mahindra,Kuv100 Nxt,K6+ D 5Str,748.128 ,1198 cc,12.855,14.783,darkgreen,new york,3,BS IV,35,Diesel,Hatchback,5,22.25 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,,77PS@3750RPM,190NM@1750-2250RPM,5,243
Mahindra,Kuv100 Nxt,K8 D 5Str,780.884 ,1198 cc,76.029,87.433,white,maryland,3,BS IV,35,Diesel,Hatchback,5,22.25 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,All Windows,77PS@3750RPM,190NM@1750-2250RPM,5,243
Mahindra,Kuv100 Nxt,K2 D 5Str Taxi,550.155 ,1198 cc,41.184,47.361,blue,texas,3,BS IV,35,Diesel,Hatchback,5,22.25 km/litre,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,Semi-independent Twist Beam with Coil Springs and Hydraulic Shock Absorbers,185/65R14,185/65R14,Electric Power,,77PS@3750RPM,190NM@1750-2250RPM,5,243
